Updated_at,Actual,Predicted
2018-03-09,599074,614686.5244721968
2018-03-08,600143,615820.1342255558
2018-03-07,603876,619678.8605081254
2018-03-06,597419,613206.3457250696
2018-03-05,598176,613907.2282711259
2018-03-02,596521,612348.6358689843
2018-03-01,597389,613102.7622548653
2018-02-28,592868,608757.0968553533
2018-02-27,599437,606395.0065067658
2018-02-26,597621,613363.1730350988
2018-02-23,598509,614323.4982915737
2018-02-22,592313,608229.4988061811
2018-02-21,594967,610740.6719062778
2018-02-20,599851,615622.6479832969
2018-02-19,600819,616677.8440816413
2018-02-15,605158,621134.8375098776
2018-02-14,599629,612801.6925424018
2018-02-13,596359,609082.3683131916
2018-02-12,593534,606317.5609215662
2018-02-09,593494,606507.3026053052
2018-02-08,590790,603629.2310453255
2018-02-07,597086,609781.3147196178
2018-02-06,597288,610160.7980870958
2018-02-05,597611,610059.1507565214
2018-02-02,598014,611006.8911054013
2018-02-01,593655,607004.8904902126
2018-01-31,593615,606435.6654389956
2018-01-30,591355,604210.0729343224
2018-01-29,594000,602296.1989100776
2018-01-26,583890,607436.6496277003
2018-01-24,582330,606216.8816608067
2018-01-23,580120,604096.808765968
2017-11-22,556211,588727.7323831095
2017-11-21,555666,588101.3912128079
2017-11-20,560524,592906.8897744424
2017-11-16,555531,588068.476839098
2017-11-15,557161,589646.4306375397
2017-11-14,555604,588041.3708842782
2017-11-13,553888,586185.5810489331
2017-11-10,584000,602296.1989100776
2017-11-09,584000,602296.1989100776
2017-11-08,585000,603264.2687250724
2017-11-07,585000,603264.2687250724
2017-11-06,583500,601812.1640025801
2017-11-03,583000,601328.1290950828
2017-11-02,585000,602780.233817575
2017-11-01,582500,600844.0941875853
2017-10-31,583000,601328.1290950828
2017-10-30,582000,600360.0592800878
2017-10-27,581500,599876.0243725904
2017-10-26,583000,601328.1290950828
2017-10-25,582500,603748.3036325698
2017-10-24,584000,602296.1989100776
2017-10-23,585500,603748.3036325698
2017-10-20,582500,600360.0592800878
2017-10-19,580000,598907.9545575955
2017-10-18,579500,598423.9196500981
2017-10-17,582000,600360.0592800878
2017-10-16,586000,604232.3385400673
2017-10-12,583500,601812.1640025801
2017-10-11,581000,601328.1290950828
2017-10-10,578000,598423.9196500981
2017-10-09,576000,596487.7800201083
2017-10-06,569000,589711.2913151444
2017-10-05,570000,576158.3139052163
2017-10-04,573000,593583.5705751238
2017-10-03,573000,593583.5705751238
2017-10-02,570000,590679.3611301392
2017-09-29,571000,591163.3960376367
2017-09-28,574500,594551.6403901187
2017-09-27,571000,591163.3960376367
2017-09-26,574000,594067.6054826212
2017-09-25,576000,595519.7102051135
2017-09-22,569500,589711.2913151444
2017-09-21,567000,587291.1167776572
2017-09-20,576000,596003.745112611
2017-09-19,573500,593583.5705751238
2017-09-18,571500,591647.430945134
2017-09-15,577000,596971.8149276058
2017-09-14,579000,598907.9545575955
2017-09-13,576000,596003.745112611
2017-09-12,577500,597455.8498351033
2017-09-11,577000,596971.8149276058
2017-09-08,585500,604716.3734475648
2017-09-07,589500,608588.6527075442
2017-09-06,585500,605200.4083550621
2017-09-05,588000,607136.5479850519
2017-09-04,557500,578578.4884427034
2017-09-01,582000,601812.1640025801
2017-08-31,578500,598423.9196500981
2017-08-30,575500,595519.7102051135
2017-08-29,577500,596971.8149276058
2017-08-28,576000,596003.745112611
2017-08-25,569000,589227.2564076469
2017-08-24,566500,586807.0818701597
2017-08-23,568000,588259.186592652
2017-08-22,566000,586323.0469626624
2017-08-21,569000,589227.2564076469
2017-08-18,567000,587291.1167776572
2017-08-17,568000,588743.2215001495
2017-08-16,564500,584870.94224017
2017-08-15,562500,582934.8026101803
2017-08-14,566000,586807.0818701597
2017-08-11,568000,588259.186592652
2017-08-10,565500,585839.0120551649
2017-08-09,561000,581482.697887688
2017-08-08,553000,574222.1742752265
2017-08-07,554000,575190.2440902214
2017-08-04,554000,574706.2091827239
2017-08-03,558500,579062.5233502008
2017-08-02,560000,580514.6280726931
2017-08-01,560000,580998.6629801906
2017-07-31,558000,578578.4884427034
2017-07-28,559000,579546.5582576983
2017-07-27,555000,575674.2789977188
2017-07-26,551000,571801.9997377393
2017-07-25,550500,571801.9997377393
2017-07-24,551000,572286.0346452368
2017-07-21,551500,572286.0346452368
2017-07-20,548500,569865.8601077497
2017-07-19,546500,567929.7204777598
2017-07-18,546000,567445.6855702625
2017-07-17,543500,565025.5110327753
2017-07-14,541000,562605.3364952882
2017-07-13,537000,558733.0572353087
2017-07-12,539000,560669.1968652984
2017-07-11,538500,560185.161957801
2017-07-10,538000,559701.1270503036
