Date,Actual,Predicted
2021-11-29,1783.8,1789.3483073626137
2021-11-30,1775.1,1792.8918606882498
2021-12-01,1783.0,1787.0242705426883
2021-12-02,1761.6,1767.260645778587
2021-12-03,1782.9,1779.918763541353
2021-12-06,1778.5,1778.6803049576663
2021-12-07,1783.6,1780.595833256874
2021-12-08,1784.5,1787.0525651147668
2021-12-09,1775.7,1779.9486335225959
2021-12-10,1783.8,1782.839297434484
2021-12-13,1787.3,1788.5023209821104
2021-12-14,1771.3,1772.421888901758
2021-12-15,1763.6,1765.9630277374652
2021-12-16,1797.4,1793.0850004218416
2021-12-17,1804.1,1809.20966257066
2021-12-20,1793.8,1795.8954102137652
2021-12-21,1788.0,1794.1383262273996
2021-12-22,1801.5,1799.5929122497853
2021-12-23,1811.0,1806.4941646106859
2021-12-24,1810.1,1811.1256907969619
2021-12-27,1808.0,1809.534693554526
2021-12-28,1810.1,1813.982515554306
2021-12-29,1804.8,1794.5169647668752
2021-12-30,1814.1,1808.9538723755738
2021-12-31,1828.6,1828.035446433208
2022-01-03,1800.1,1808.1731486707743
2022-01-04,1814.6,1812.3291758238188
2022-01-05,1825.1,1822.8174956710513
2022-01-06,1789.2,1792.4574304507207
2022-01-07,1797.4,1790.1014169612695
2022-01-10,1798.8,1796.1612382188505
2022-01-11,1818.5,1818.096795803717
2022-01-12,1827.3,1822.279888758862
2022-01-13,1821.4,1817.7817986401515
2022-01-14,1816.5,1822.5242374396041
2022-01-16,1815.75,1817.7768482995957
2022-01-17,1819.05,1819.5504156506204
2022-01-18,1812.4,1811.942043425731
2022-01-19,1843.2,1835.0928000834058
2022-01-20,1842.6,1844.6611859167901
2022-01-21,1831.8,1834.4448078474604
2022-01-24,1841.7,1839.186140467216
2022-01-25,1852.5,1845.6921213013945
2022-01-26,1829.7,1823.9733055103723
2022-01-27,1793.1,1799.4337116316217
2022-01-28,1785.8,1785.1476938019923
2022-01-31,1796.0,1794.378813780875
2022-02-01,1800.8,1805.734089817329
2022-02-02,1809.5,1804.6956490191303
2022-02-03,1803.2,1793.4030347532287
2022-02-04,1806.8,1803.7014431393598
2022-02-07,1820.8,1820.9466578413976
2022-02-08,1826.8,1824.043596899575
2022-02-09,1835.6,1833.6330371036906
2022-02-10,1836.4,1831.704453964101
2022-02-11,1841.1,1854.2926647332074
2022-02-14,1868.3,1864.9990019952702
2022-02-15,1855.1,1857.855786632614
2022-02-16,1870.5,1868.2853018525025
2022-02-17,1901.0,1895.9743958457095
2022-02-18,1898.8,1893.3369784178042
2022-02-20,1908.0,1908.6719715559982
2022-02-21,1912.05,1902.8794012878425
