,Sell,Buy,Installment,Updated_at
113,859460,844419,859460,2022-01-01T00:00:00.000Z
114,859460,844419,859460,2021-12-31T00:00:00.000Z
115,860269,845214,860269,2021-12-30T00:00:00.000Z
116,857276,842273,857276,2021-12-29T00:00:00.000Z
117,862891,847790,862891,2021-12-28T00:00:00.000Z
118,859578,844535,859578,2021-12-27T00:00:00.000Z
119,860311,845255,860311,2021-12-25T00:00:00.000Z
120,860311,845255,860311,2021-12-24T00:00:00.000Z
121,859167,844131,859167,2021-12-23T00:00:00.000Z
122,856222,841238,856222,2021-12-22T00:00:00.000Z
123,857877,842864,857877,2021-12-21T00:00:00.000Z
124,863554,848441,863554,2021-12-20T00:00:00.000Z
125,866459,851295,866459,2021-12-18T00:00:00.000Z
126,866456,851293,866456,2021-12-17T00:00:00.000Z
127,856446,841458,856446,2021-12-16T00:00:00.000Z
128,847284,832456,847284,2021-12-15T00:00:00.000Z
129,848749,833895,848749,2021-12-14T00:00:00.000Z
130,856009,841028,856009,2021-12-13T00:00:00.000Z
131,854767,839808,854767,2021-12-11T00:00:00.000Z
132,855761,840785,855761,2021-12-10T00:00:00.000Z
133,852758,837834,852758,2021-12-09T00:00:00.000Z
134,854117,839169,854117,2021-12-08T00:00:00.000Z
135,856338,841352,856338,2021-12-07T00:00:00.000Z
136,858244,843224,858244,2021-12-06T00:00:00.000Z
137,856756,841762,856756,2021-12-04T00:00:00.000Z
138,851087,836192,851087,2021-12-03T00:00:00.000Z
139,850419,835536,850419,2021-12-02T00:00:00.000Z
140,856547,841557,856547,2021-12-01T00:00:00.000Z
141,854509,839555,854509,2021-11-30T00:00:00.000Z
142,854522,839567,854522,2021-11-29T00:00:00.000Z
143,856116,841133,856116,2021-11-27T00:00:00.000Z
144,856120,841137,856120,2021-11-26T00:00:00.000Z
145,854286,839335,854286,2021-11-25T00:00:00.000Z
146,849652,834783,849652,2021-11-24T00:00:00.000Z
147,852105,837193,852105,2021-11-23T00:00:00.000Z
148,876272,860937,876272,2021-11-22T00:00:00.000Z
149,880311,864905,880311,2021-11-20T00:00:00.000Z
150,884477,868998,884477,2021-11-19T00:00:00.000Z
151,887692,872157,887692,2021-11-18T00:00:00.000Z
152,886924,871402,886924,2021-11-17T00:00:00.000Z
153,885554,870056,885554,2021-11-16T00:00:00.000Z
154,885820,870318,885820,2021-11-15T00:00:00.000Z
155,885836,870333,885836,2021-11-13T00:00:00.000Z
156,882433,866990,882433,2021-11-12T00:00:00.000Z
157,886342,870831,886342,2021-11-11T00:00:00.000Z
158,884178,868704,884178,2021-11-10T00:00:00.000Z
159,870946,855704,870946,2021-11-09T00:00:00.000Z
160,868183,852989,868183,2021-11-08T00:00:00.000Z
161,868353,853156,868353,2021-11-06T00:00:00.000Z
162,860530,845470,860530,2021-11-05T00:00:00.000Z
163,860386,845329,860386,2021-11-04T00:00:00.000Z
164,843064,828310,843064,2021-11-03T00:00:00.000Z
165,852616,837695,852616,2021-11-02T00:00:00.000Z
166,852534,837614,852534,2021-11-01T00:00:00.000Z
167,851436,836535,851436,2021-10-30T00:00:00.000Z
168,851436,836535,851436,2021-10-29T00:00:00.000Z
169,851518,836616,851518,2021-10-28T00:00:00.000Z
170,849553,834685,849553,2021-10-27T00:00:00.000Z
171,846946,832124,846946,2021-10-26T00:00:00.000Z
172,855345,840376,855345,2021-10-25T00:00:00.000Z
173,846118,831310,846118,2021-10-23T00:00:00.000Z
174,842545,827800,842545,2021-10-22T00:00:00.000Z
175,843067,828313,843067,2021-10-21T00:00:00.000Z
176,838938,824256,838938,2021-10-20T00:00:00.000Z
177,834785,820176,834785,2021-10-19T00:00:00.000Z
178,836242,821607,836242,2021-10-18T00:00:00.000Z
179,832951,818374,832951,2021-10-16T00:00:00.000Z
180,835201,820584,835201,2021-10-15T00:00:00.000Z
181,848797,833943,848797,2021-10-14T00:00:00.000Z
182,848744,833890,848744,2021-10-13T00:00:00.000Z
183,836182,821548,836182,2021-10-12T00:00:00.000Z
184,834939,820327,834939,2021-10-11T00:00:00.000Z
185,835248,820631,835248,2021-10-09T00:00:00.000Z
186,835720,821094,835720,2021-10-08T00:00:00.000Z
187,835600,820977,835600,2021-10-07T00:00:00.000Z
188,839967,825267,839967,2021-10-06T00:00:00.000Z
189,839211,824524,839211,2021-10-05T00:00:00.000Z
190,842040,827304,842040,2021-10-04T00:00:00.000Z
191,841431,826705,841431,2021-10-02T00:00:00.000Z
192,840786,826072,840786,2021-10-01T00:00:00.000Z
193,832379,817812,832379,2021-09-30T00:00:00.000Z
194,830243,815713,830243,2021-09-29T00:00:00.000Z
195,828607,814106,828607,2021-09-28T00:00:00.000Z
196,836132,821499,836132,2021-09-27T00:00:00.000Z
197,832959,818382,832959,2021-09-25T00:00:00.000Z
198,834113,819516,834113,2021-09-24T00:00:00.000Z
199,842109,827372,842109,2021-09-23T00:00:00.000Z
200,846125,831317,846125,2021-09-22T00:00:00.000Z
201,843560,828797,843560,2021-09-21T00:00:00.000Z
202,836753,822109,836753,2021-09-20T00:00:00.000Z
203,834736,820128,834736,2021-09-18T00:00:00.000Z
204,835803,821176,835803,2021-09-17T00:00:00.000Z
205,837047,822398,837047,2021-09-16T00:00:00.000Z
206,854086,839139,854086,2021-09-15T00:00:00.000Z
207,855098,840133,855098,2021-09-14T00:00:00.000Z
208,851455,836554,851455,2021-09-13T00:00:00.000Z
209,846529,831714,846529,2021-09-11T00:00:00.000Z
210,849824,834952,849824,2021-09-10T00:00:00.000Z
211,848221,833377,848221,2021-09-09T00:00:00.000Z
212,847329,832500,847329,2021-09-08T00:00:00.000Z
213,855209,840242,855209,2021-09-07T00:00:00.000Z
214,866764,851595,866764,2021-09-06T00:00:00.000Z
215,871247,856000,871247,2021-09-04T00:00:00.000Z
216,872771,857497,872771,2021-09-03T00:00:00.000Z
217,864525,849395,864525,2021-09-02T00:00:00.000Z
218,864627,849496,864627,2021-09-01T00:00:00.000Z
219,866564,851399,866564,2021-08-31T00:00:00.000Z
220,872748,857474,872748,2021-08-30T00:00:00.000Z
221,868530,853330,868530,2021-08-28T00:00:00.000Z
222,868527,853327,868527,2021-08-27T00:00:00.000Z
223,863257,848150,863257,2021-08-26T00:00:00.000Z
224,860646,845584,860646,2021-08-25T00:00:00.000Z
225,868525,853325,868525,2021-08-24T00:00:00.000Z
226,867418,852238,867418,2021-08-23T00:00:00.000Z
227,861492,846415,861492,2021-08-21T00:00:00.000Z
228,861492,846415,861492,2021-08-20T00:00:00.000Z
229,859077,844043,859077,2021-08-19T00:00:00.000Z
230,856584,841593,856584,2021-08-18T00:00:00.000Z
231,851856,836948,851856,2021-08-17T00:00:00.000Z
232,854330,839379,854330,2021-08-16T00:00:00.000Z
233,851374,836474,851374,2021-08-14T00:00:00.000Z
234,848183,833339,848183,2021-08-13T00:00:00.000Z
235,836418,821780,836418,2021-08-12T00:00:00.000Z
236,835180,820564,835180,2021-08-11T00:00:00.000Z
237,826132,811674,826132,2021-08-10T00:00:00.000Z
238,827004,812531,827004,2021-08-09T00:00:00.000Z
239,840364,825657,840364,2021-08-07T00:00:00.000Z
240,841219,826497,841219,2021-08-06T00:00:00.000Z
241,860115,845062,860115,2021-08-05T00:00:00.000Z
242,861197,846126,861197,2021-08-04T00:00:00.000Z
243,863790,848673,863790,2021-08-03T00:00:00.000Z
244,871022,855779,871022,2021-08-02T00:00:00.000Z
245,866350,851188,866350,2021-07-31T00:00:00.000Z
246,867169,851993,867169,2021-07-30T00:00:00.000Z
247,870775,855536,870775,2021-07-29T00:00:00.000Z
248,867818,852631,867818,2021-07-28T00:00:00.000Z
249,870126,854898,870126,2021-07-27T00:00:00.000Z
250,868866,853660,868866,2021-07-26T00:00:00.000Z
251,868351,853154,868351,2021-07-24T00:00:00.000Z
252,862481,847387,862481,2021-07-23T00:00:00.000Z
253,858846,843816,858846,2021-07-22T00:00:00.000Z
254,865416,850271,865416,2021-07-21T00:00:00.000Z
255,875404,860084,875404,2021-07-20T00:00:00.000Z
256,870344,855112,870344,2021-07-19T00:00:00.000Z
257,870306,855075,870306,2021-07-17T00:00:00.000Z
258,870210,854981,870210,2021-07-16T00:00:00.000Z
259,873560,858272,873560,2021-07-15T00:00:00.000Z
260,877539,862182,877539,2021-07-14T00:00:00.000Z
261,871102,855857,871102,2021-07-13T00:00:00.000Z
262,870366,855134,870366,2021-07-12T00:00:00.000Z
263,874926,859614,874926,2021-07-10T00:00:00.000Z
264,874733,859425,874733,2021-07-09T00:00:00.000Z
265,871316,856067,871316,2021-07-08T00:00:00.000Z
266,871685,856430,871685,2021-07-07T00:00:00.000Z
267,877411,862056,877411,2021-07-06T00:00:00.000Z
268,870835,855595,870835,2021-07-05T00:00:00.000Z
269,871730,856474,871730,2021-07-03T00:00:00.000Z
270,869839,854616,869839,2021-07-02T00:00:00.000Z
271,866787,851618,866787,2021-07-01T00:00:00.000Z
272,866254,851094,866254,2021-06-30T00:00:00.000Z
273,865384,850239,865384,2021-06-29T00:00:00.000Z
274,861615,846536,861615,2021-06-28T00:00:00.000Z
275,865225,850083,865225,2021-06-26T00:00:00.000Z
276,865225,850083,865225,2021-06-25T00:00:00.000Z
277,862097,847010,862097,2021-06-24T00:00:00.000Z
278,868890,853684,868890,2021-06-23T00:00:00.000Z
279,859393,844353,859393,2021-06-22T00:00:00.000Z
280,864744,849610,864744,2021-06-21T00:00:00.000Z
281,855735,840759,855735,2021-06-19T00:00:00.000Z
282,857848,842835,857848,2021-06-18T00:00:00.000Z
283,849479,834613,849479,2021-06-17T00:00:00.000Z
284,881959,866524,881959,2021-06-16T00:00:00.000Z
285,881957,866522,881957,2021-06-15T00:00:00.000Z
286,884174,868700,884174,2021-06-14T00:00:00.000Z
287,880317,864911,880317,2021-06-12T00:00:00.000Z
288,879898,864499,879898,2021-06-11T00:00:00.000Z
289,891113,875518,891113,2021-06-10T00:00:00.000Z
290,894341,878690,894341,2021-06-09T00:00:00.000Z
291,892359,876742,892359,2021-06-08T00:00:00.000Z
292,892740,877117,892740,2021-06-07T00:00:00.000Z
293,893855,878212,893855,2021-06-05T00:00:00.000Z
294,894654,878997,894654,2021-06-04T00:00:00.000Z
295,893666,878026,893666,2021-06-03T00:00:00.000Z
296,896732,881039,896732,2021-06-02T00:00:00.000Z
297,894482,878828,894482,2021-06-01T00:00:00.000Z
298,896029,880348,896029,2021-05-31T00:00:00.000Z
299,891690,876085,891690,2021-05-29T00:00:00.000Z
300,891690,876085,891690,2021-05-28T00:00:00.000Z
301,891844,876236,891844,2021-05-27T00:00:00.000Z
302,880451,865043,880451,2021-05-26T00:00:00.000Z
303,873806,858514,873806,2021-05-25T00:00:00.000Z
304,896280,880595,896280,2021-05-24T00:00:00.000Z
305,873926,858632,873926,2021-05-22T00:00:00.000Z
306,873926,858632,873926,2021-05-21T00:00:00.000Z
307,880663,865251,880663,2021-05-20T00:00:00.000Z
308,888494,872945,888494,2021-05-19T00:00:00.000Z
309,863211,848104,863211,2021-05-18T00:00:00.000Z
310,878696,863318,878696,2021-05-17T00:00:00.000Z
311,871204,855957,871204,2021-05-15T00:00:00.000Z
312,868619,853418,868619,2021-05-14T00:00:00.000Z
313,857758,842747,857758,2021-05-13T00:00:00.000Z
314,861237,846165,861237,2021-05-12T00:00:00.000Z
315,865891,850737,865891,2021-05-11T00:00:00.000Z
316,864635,849503,864635,2021-05-10T00:00:00.000Z
317,873458,858172,873458,2021-05-07T00:00:00.000Z
318,862805,847705,862805,2021-05-06T00:00:00.000Z
319,854396,839444,854396,2021-05-05T00:00:00.000Z
320,852150,837237,852150,2021-05-04T00:00:00.000Z
321,860186,845132,860186,2021-05-03T00:00:00.000Z
322,847720,832884,847720,2021-05-01T00:00:00.000Z
323,847099,832274,847099,2021-04-30T00:00:00.000Z
324,849107,834247,849107,2021-04-29T00:00:00.000Z
325,862097,847010,862097,2021-04-28T00:00:00.000Z
326,864367,849240,864367,2021-04-27T00:00:00.000Z
327,853203,838271,853203,2021-04-26T00:00:00.000Z
328,854901,839940,854901,2021-04-24T00:00:00.000Z
329,853753,838812,853753,2021-04-23T00:00:00.000Z
330,857768,842757,857768,2021-04-22T00:00:00.000Z
331,865340,850196,865340,2021-04-21T00:00:00.000Z
332,855151,840185,855151,2021-04-20T00:00:00.000Z
333,859879,844831,859879,2021-04-19T00:00:00.000Z
334,863787,848670,863787,2021-04-17T00:00:00.000Z
335,864948,849811,864948,2021-04-16T00:00:00.000Z
336,864177,849053,864177,2021-04-15T00:00:00.000Z
337,850223,835344,850223,2021-04-14T00:00:00.000Z
