Sell,Buy,Updated_at
866350,851188,2021-07-31
867169,851993,2021-07-30
870775,855536,2021-07-29
867818,852631,2021-07-28
870126,854898,2021-07-27
868866,853660,2021-07-26
868351,853154,2021-07-24
862481,847387,2021-07-23
858846,843816,2021-07-22
865416,850271,2021-07-21
875404,860084,2021-07-20
870344,855112,2021-07-19
870306,855075,2021-07-17
870210,854981,2021-07-16
873560,858272,2021-07-15
877539,862182,2021-07-14
871102,855857,2021-07-13
870366,855134,2021-07-12
874926,859614,2021-07-10
874733,859425,2021-07-09
871316,856067,2021-07-08
871685,856430,2021-07-07
877411,862056,2021-07-06
870835,855595,2021-07-05
871730,856474,2021-07-03
869839,854616,2021-07-02
866787,851618,2021-07-01
866254,851094,2021-06-30
865384,850239,2021-06-29
861615,846536,2021-06-28
865225,850083,2021-06-26
865225,850083,2021-06-25
862097,847010,2021-06-24
868890,853684,2021-06-23
859393,844353,2021-06-22
864744,849610,2021-06-21
855735,840759,2021-06-19
857848,842835,2021-06-18
849479,834613,2021-06-17
881959,866524,2021-06-16
881957,866522,2021-06-15
884174,868700,2021-06-14
880317,864911,2021-06-12
879898,864499,2021-06-11
891113,875518,2021-06-10
894341,878690,2021-06-09
892359,876742,2021-06-08
892740,877117,2021-06-07
893855,878212,2021-06-05
894654,878997,2021-06-04
893666,878026,2021-06-03
896732,881039,2021-06-02
894482,878828,2021-06-01
896029,880348,2021-05-31
891690,876085,2021-05-29
891690,876085,2021-05-28
891844,876236,2021-05-27
880451,865043,2021-05-26
873806,858514,2021-05-25
896280,880595,2021-05-24
873926,858632,2021-05-22
873926,858632,2021-05-21
880663,865251,2021-05-20
888494,872945,2021-05-19
863211,848104,2021-05-18
878696,863318,2021-05-17
871204,855957,2021-05-15
868619,853418,2021-05-14
857758,842747,2021-05-13
861237,846165,2021-05-12
865891,850737,2021-05-11
864635,849503,2021-05-10
873458,858172,2021-05-07
862805,847705,2021-05-06
854396,839444,2021-05-05
852150,837237,2021-05-04
860186,845132,2021-05-03
847720,832884,2021-05-01
847099,832274,2021-04-30
849107,834247,2021-04-29
862097,847010,2021-04-28
864367,849240,2021-04-27
853203,838271,2021-04-26
854901,839940,2021-04-24
853753,838812,2021-04-23
857768,842757,2021-04-22
865340,850196,2021-04-21
855151,840185,2021-04-20
859879,844831,2021-04-19
863787,848670,2021-04-17
864948,849811,2021-04-16
864177,849053,2021-04-15
850223,835344,2021-04-14
853679,838739,2021-04-13
850627,835741,2021-04-12
851601,836697,2021-04-10
851844,836936,2021-04-09
862576,847480,2021-04-08
853067,838138,2021-04-07
860585,845524,2021-04-06
859774,844727,2021-04-05
859992,844942,2021-04-02
859646,844602,2021-04-01
847628,832794,2021-03-31
831733,817177,2021-03-30
841558,826830,2021-03-29
847942,833103,2021-03-26
852275,837360,2021-03-25
851444,836543,2021-03-24
847505,832673,2021-03-23
852711,837788,2021-03-22
851339,836440,2021-03-19
848594,833743,2021-03-18
849384,834519,2021-03-17
851671,836766,2021-03-16
846652,831835,2021-03-15
844796,830012,2021-03-13
834751,820142,2021-03-12
847603,832769,2021-03-11
844957,830170,2021-03-10
848064,833222,2021-03-09
826811,812341,2021-03-08
832948,818371,2021-03-06
830703,816165,2021-03-05
841189,826468,2021-03-04
833309,818726,2021-03-03
846065,831258,2021-03-02
849803,834931,2021-03-01
839119,824434,2021-02-27
844526,829746,2021-02-26
843820,829053,2021-02-25
858630,843603,2021-02-24
868063,852871,2021-02-23
872554,857284,2021-02-22
856058,841076,2021-02-20
857925,842911,2021-02-19
851590,836687,2021-02-18
852685,837763,2021-02-17
862550,847455,2021-02-16
866072,850915,2021-02-15
872346,857079,2021-02-13
866826,851656,2021-02-12
880293,864887,2021-02-11
879560,864167,2021-02-10
877259,861906,2021-02-09
880417,865009,2021-02-08
869937,854713,2021-02-06
866927,851755,2021-02-05
849147,834286,2021-02-04
868476,853277,2021-02-03
870378,855146,2021-02-02
884965,869478,2021-02-01
877581,862223,2021-01-30
883633,868169,2021-01-29
886817,871297,2021-01-28
878453,863080,2021-01-27
884096,868624,2021-01-26
879767,864371,2021-01-25
881098,865678,2021-01-23
880720,865307,2021-01-22
884977,869489,2021-01-21
887370,871841,2021-01-20
878266,862896,2021-01-19
874393,859091,2021-01-18
864127,849004,2021-01-16
866388,851226,2021-01-15
873197,857916,2021-01-14
878497,863123,2021-01-13
877061,861712,2021-01-12
875964,860634,2021-01-11
865848,850695,2021-01-09
872875,857599,2021-01-08
894077,878430,2021-01-07
892212,876598,2021-01-06
908201,892307,2021-01-05
907460,891579,2021-01-04
903333,887524,2021-01-02
902636,886839,2021-01-01
896424,880736,2020-12-31
889805,874233,2020-12-30
892693,877070,2020-12-29
900372,884615,2020-12-28
896416,880728,2020-12-25
894424,878771,2020-12-24
895895,880216,2020-12-23
893022,877394,2020-12-22
893683,878043,2020-12-21
897796,882084,2020-12-20
900012,884261,2020-12-18
905602,889753,2020-12-17
889043,873484,2020-12-16
887094,871569,2020-12-15
877043,861694,2020-12-14
880468,865059,2020-12-12
883419,867959,2020-12-11
880125,864722,2020-12-10
882592,867146,2020-12-09
895954,880274,2020-12-08
896038,880357,2020-12-07
888804,873249,2020-12-05
889429,873863,2020-12-04
886341,870830,2020-12-03
881096,865676,2020-12-02
873657,858368,2020-12-01
855814,840837,2020-11-30
862133,847045,2020-11-28
860354,845297,2020-11-27
873172,857891,2020-11-26
873497,858210,2020-11-25
873586,858298,2020-11-24
883677,868212,2020-11-23
907725,891839,2020-11-21
908691,892788,2020-11-20
895254,879587,2020-11-19
903697,887882,2020-11-18
904657,888825,2020-11-17
905699,889849,2020-11-16
917726,901665,2020-11-14
918016,901950,2020-11-13
910268,894338,2020-11-12
893136,877506,2020-11-11
896331,880645,2020-11-10
893959,878314,2020-11-09
942366,925874,2020-11-07
938616,922190,2020-11-06
945688,929138,2020-11-05
940743,924279,2020-11-04
938962,922530,2020-11-03
940336,923880,2020-11-02
933763,917422,2020-10-31
935297,918929,2020-10-30
931981,915671,2020-10-29
931391,915091,2020-10-28
948204,931610,2020-10-27
945841,929288,2020-10-26
944367,927840,2020-10-24
942045,925559,2020-10-23
941679,925199,2020-10-22
955382,938662,2020-10-21
943409,926899,2020-10-20
946261,929701,2020-10-19
948010,931419,2020-10-17
948606,932005,2020-10-16
946680,930113,2020-10-15
957568,928840,2020-10-14
945357,916996,2020-10-13
951955,923396,2020-10-12
973540,944333,2020-10-10
972213,943046,2020-10-09
952964,924375,2020-10-08
950397,921885,2020-10-07
955799,927125,2020-10-06
969944,940845,2020-10-05
961857,933001,2020-10-03
962916,934028,2020-10-02
967721,938689,2020-10-01
963753,934840,2020-09-30
964646,935706,2020-09-29
962909,934021,2020-09-28
950825,922300,2020-09-26
950184,921678,2020-09-25
957353,928632,2020-09-24
948171,919725,2020-09-23
962184,933318,2020-09-22
941664,913414,2020-09-21
975396,946134,2020-09-18
971347,942206,2020-09-17
982475,953000,2020-09-16
982672,953191,2020-09-15
981605,952156,2020-09-14
975817,946542,2020-09-12
980544,951127,2020-09-11
980330,950920,2020-09-10
975356,946095,2020-09-09
966071,937088,2020-09-08
966398,937406,2020-09-07
963933,935015,2020-09-05
960839,932013,2020-09-04
962880,933993,2020-09-03
965570,936602,2020-09-02
965524,936558,2020-09-01
964374,935442,2020-08-31
972988,943798,2020-08-29
974510,945274,2020-08-28
977801,948466,2020-08-27
958173,929427,2020-08-26
940899,912672,2020-08-25
954282,925653,2020-08-24
949406,920923,2020-08-22
942231,913964,2020-08-21
947856,919420,2020-08-20
969501,940415,2020-08-19
992438,962664,2020-08-18
993692,963881,2020-08-17
971295,942156,2020-08-15
970689,941568,2020-08-14
970708,941586,2020-08-13
954251,925623,2020-08-12
958206,929459,2020-08-11
998003,968062,2020-08-10
993351,963550,2020-08-08
992908,963120,2020-08-07
998380,968428,2020-08-06
988712,959050,2020-08-05
973483,944278,2020-08-04
958088,929345,2020-08-03
955903,927225,2020-08-01
955217,926560,2020-07-31
941121,912887,2020-07-30
938223,910076,2020-07-29
933632,905623,2020-07-28
940039,911837,2020-07-27
920289,892680,2020-07-25
919713,892121,2020-07-24
914517,887081,2020-07-23
903296,876197,2020-07-22
903159,876064,2020-07-21
895210,868353,2020-07-20
893324,866524,2020-07-18
890567,863849,2020-07-17
882213,855746,2020-07-16
879849,853453,2020-07-15
880335,853924,2020-07-14
876666,850366,2020-07-13
877494,851169,2020-07-11
879188,852812,2020-07-10
875444,849180,2020-07-09
878636,852276,2020-07-08
873708,847496,2020-07-07
869912,843814,2020-07-06
868696,842635,2020-07-03
864190,838264,2020-07-02
848698,823237,2020-07-01
862041,836179,2020-06-30
848349,822898,2020-06-29
848589,823131,2020-06-28
848695,823234,2020-06-27
845544,820177,2020-06-26
840588,815370,2020-06-25
839966,814767,2020-06-24
850450,824936,2020-06-23
838919,813751,2020-06-22
840165,814960,2020-06-20
840356,815145,2020-06-19
826742,801939,2020-06-18
830831,805906,2020-06-17
827182,802366,2020-06-16
829320,804440,2020-06-15
831546,806599,2020-06-13
834497,809462,2020-06-12
823086,798393,2020-06-11
819904,795306,2020-06-10
825551,800784,2020-06-09
817597,793069,2020-06-08
806646,782446,2020-06-06
803029,778938,2020-06-05
835121,810067,2020-06-04
819231,794654,2020-06-03
843148,817853,2020-06-02
859270,833491,2020-06-01
856297,830608,2020-05-30
857583,831855,2020-05-29
857779,832045,2020-05-28
842906,817618,2020-05-27
852703,827121,2020-05-26
861413,835570,2020-05-25
863646,837736,2020-05-23
863181,837285,2020-05-22
863403,837500,2020-05-21
871118,844984,2020-05-20
868289,842240,2020-05-19
871850,845694,2020-05-18
876479,850184,2020-05-16
875179,848923,2020-05-15
866075,840092,2020-05-14
856414,830721,2020-05-13
855137,829482,2020-05-12
848834,823368,2020-05-11
857605,831876,2020-05-09
861708,835856,2020-05-08
859386,833604,2020-05-06
856021,830340,2020-05-05
861666,835816,2020-05-04
868357,842306,2020-04-30
873891,847674,2020-04-29
878455,852101,2020-04-28
884501,857965,2020-04-27
895516,868650,2020-04-24
898625,871666,2020-04-23
891254,864516,2020-04-22
882040,855578,2020-04-21
867747,841714,2020-04-20
889127,862453,2020-04-17
910296,882987,2020-04-16
893641,866831,2020-04-15
902433,875360,2020-04-14
903061,875969,2020-04-13
915009,887558,2020-04-10
898252,871304,2020-04-09
886977,860367,2020-04-08
884537,858000,2020-04-07
879153,852778,2020-04-06
861185,835349,2020-04-03
852558,826981,2020-04-02
848121,822677,2020-04-01
850136,824631,2020-03-31
845947,820568,2020-03-30
841771,816517,2020-03-27
844919,819571,2020-03-26
864045,838123,2020-03-24
789698,766007,2020-03-23
788541,764884,2020-03-20
736649,714549,2020-03-19
751599,729051,2020-03-18
739636,717446,2020-03-17
753396,730794,2020-03-16
750412,727899,2020-03-14
775762,752489,2020-03-13
753892,731275,2020-03-12
784053,760531,2020-03-11
791379,767637,2020-03-10
795268,771409,2020-03-09
790922,767194,2020-03-06
766913,743905,2020-03-05
765818,742843,2020-03-04
749748,727255,2020-03-03
765073,742120,2020-03-02
769597,746509,2020-02-28
762267,739398,2020-02-27
760676,737855,2020-02-26
757383,734661,2020-02-25
772445,749271,2020-02-24
747927,725489,2020-02-21
735240,713182,2020-02-20
732318,710348,2020-02-19
720757,699134,2020-02-18
718525,696969,2020-02-17
717023,695512,2020-02-14
715559,694092,2020-02-13
709609,688320,2020-02-12
713692,692281,2020-02-11
717523,695997,2020-02-10
710767,689443,2020-02-07
708428,687175,2020-02-06
709937,688638,2020-02-05
718000,696460,2020-02-04
718465,696911,2020-02-03
716899,695392,2020-01-31
718156,696611,2020-01-30
711425,690082,2020-01-29
716557,695060,2020-01-28
714275,692846,2020-01-27
706427,685234,2020-01-24
705227,684070,2020-01-23
708365,687114,2020-01-22
706438,685244,2020-01-21
708904,687636,2020-01-20
707782,686548,2020-01-17
705992,684812,2020-01-16
708473,687218,2020-01-15
702221,681154,2020-01-14
707682,686451,2020-01-13
713502,692096,2020-01-10
714172,692746,2020-01-09
734354,712323,2020-01-08
725842,704066,2020-01-07
733044,711052,2020-01-06
715728,694256,2020-01-03
704639,683499,2020-01-02
707630,686401,2019-12-31
703535,682428,2019-12-30
703179,682083,2019-12-27
702207,681140,2019-12-26
692427,671654,2019-12-23
689974,669274,2019-12-20
688568,667910,2019-12-19
691578,670830,2019-12-18
692579,671801,2019-12-17
690059,669357,2019-12-16
687606,666977,2019-12-13
690099,669396,2019-12-12
686517,665921,2019-12-11
684575,664037,2019-12-10
684949,664400,2019-12-09
690769,670045,2019-12-06
693574,672766,2019-12-05
699248,678270,2019-12-04
690274,669565,2019-12-03
686657,666057,2019-12-02
686145,665560,2019-11-29
686459,665865,2019-11-28
686773,666169,2019-11-27
685583,665015,2019-11-26
686477,665882,2019-11-25
691159,670424,2019-11-22
695050,674198,2019-11-21
696668,675767,2019-11-20
692131,671367,2019-11-19
687110,666496,2019-11-18
689639,668949,2019-11-15
692475,671700,2019-11-14
687922,667284,2019-11-13
683038,662546,2019-11-12
686809,666204,2019-11-11
689581,668893,2019-11-08
698076,677133,2019-11-07
695222,674365,2019-11-06
704327,679675,2019-11-05
709155,684334,2019-11-04
711575,686669,2019-11-01
704681,680017,2019-10-31
700374,675860,2019-10-30
701392,676843,2019-10-29
